MethodKey,Method,ProtocolKey,Protocol,Macro_F1,Macro_F1_SD,Weighted_F1,Weighted_F1_SD,Accuracy,Accuracy_SD,Eval_N,True_Classes,Pred_Classes,Split_Count
rf_basic10_symmetric_smote,Random Forest (10 s RSSI summary + symmetric relabeling + SMOTE),event_random,Event-group random 70/30 + 59 s purge,0.24942615164551207,0.047982945059572964,0.5163778636293026,0.031607865764450876,0.5145193629886071,0.05745156926220442,14109.6,21.0,22.0,5
rf_basic10_symmetric_smote,Random Forest (10 s RSSI summary + symmetric relabeling + SMOTE),lodo,Leave-one-day-out (Apr11-Apr13),0.2697575419131475,0.0,0.5234278080366771,0.0,0.4873569557424514,0.0,36265.0,23.0,23.0,3
rf_basic10_symmetric_smote,Random Forest (10 s RSSI summary + symmetric relabeling + SMOTE),forward,Strict expanding-forward,0.25137262374847247,0.0,0.523367486711423,0.0,0.4989107955328829,0.0,36265.0,23.0,23.0,3
rf_lagstack10,Random Forest (10 s causal lag-stack features),row_random,Naive stratified row-random 70/30,0.5461671873222627,0.020016027240069414,0.5864773849733098,0.057266884273771516,0.5571054679210582,0.09017559719697675,14137.0,23.0,22.6,5
rf_lagstack10,Random Forest (10 s causal lag-stack features),block45_random,45 s block-group random 70/30 + 59 s purge,0.2842871500810357,0.02941256214975824,0.52738919202011,0.05901587442967752,0.5356776556776557,0.08846545716978123,12285.0,19.0,17.6,5
rf_lagstack10,Random Forest (10 s causal lag-stack features),event_random,Event-group random 70/30 + 59 s purge,0.22715667699782727,0.029967526032322066,0.503847109533359,0.0460800741199793,0.5021159892627864,0.07278901062850172,14109.6,21.0,19.6,5
rf_lagstack10,Random Forest (10 s causal lag-stack features),lodo,Leave-one-day-out (Apr11-Apr13),0.25572361051412695,0.0,0.5118331538071482,0.0,0.530621811664139,0.0,36265.0,23.0,23.0,3
rf_lagstack10,Random Forest (10 s causal lag-stack features),forward,Strict expanding-forward,0.23816465732810013,0.0,0.5114671303990734,0.0,0.5373776368399283,0.0,36265.0,23.0,21.0,3
tcn10,Causal TCN (10 s RSSI + availability sequence),row_random,Naive stratified row-random 70/30,0.5423812389639993,0.017905733009908296,0.622987827367436,0.011141724305844276,0.6261583079861357,0.012196947439057682,14137.0,23.0,22.0,5
tcn10,Causal TCN (10 s RSSI + availability sequence),block45_random,45 s block-group random 70/30 + 59 s purge,0.2696295832864384,0.02589999198089435,0.4938527083107852,0.06906686165246498,0.4828327228327228,0.1033810292530101,12285.0,19.0,18.0,5
tcn10,Causal TCN (10 s RSSI + availability sequence),event_random,Event-group random 70/30 + 59 s purge,0.23523256573045556,0.019107952467588663,0.49460458197854784,0.05013369913937812,0.478836911538956,0.07598241119884767,14109.6,21.0,19.6,5
tcn10,Causal TCN (10 s RSSI + availability sequence),lodo,Leave-one-day-out (Apr11-Apr13),0.2652310054900265,0.0,0.48149734822823637,0.0,0.4861988142837447,0.0,36265.0,23.0,22.0,3
tcn10,Causal TCN (10 s RSSI + availability sequence),forward,Strict expanding-forward,0.21101551529457083,0.0,0.41904005418332624,0.0,0.37669929684268577,0.0,36265.0,23.0,20.0,3
rf_topology10,Topology-Augmented Random Forest (10 s RSSI summary + floor-plan graph features),row_random,Naive stratified row-random 70/30,0.6345831683262456,0.018591641370848743,0.6621190836898988,0.05261933826091349,0.6197495932658981,0.09000903864046673,14137.0,23.0,22.6,5
rf_topology10,Topology-Augmented Random Forest (10 s RSSI summary + floor-plan graph features),block45_random,45 s block-group random 70/30 + 59 s purge,0.2970629548471538,0.028845128446762756,0.572930338707116,0.04922729409004633,0.588978428978429,0.07460710683844546,12285.0,19.0,17.8,5
rf_topology10,Topology-Augmented Random Forest (10 s RSSI summary + floor-plan graph features),event_random,Event-group random 70/30 + 59 s purge,0.2324164811809148,0.030602794045518005,0.5255177071589281,0.0461246446391777,0.5210119538365598,0.07252047090218355,14109.6,21.0,19.2,5
rf_topology10,Topology-Augmented Random Forest (10 s RSSI summary + floor-plan graph features),lodo,Leave-one-day-out (Apr11-Apr13),0.27751035448507866,0.0,0.532213734546507,0.0,0.5492347993933545,0.0,36265.0,23.0,22.0,3
rf_topology10,Topology-Augmented Random Forest (10 s RSSI summary + floor-plan graph features),forward,Strict expanding-forward,0.2551218819244178,0.0,0.5273812195616572,0.0,0.5511926099545016,0.0,36265.0,23.0,20.0,3
ensemble_calibrated,Calibrated Multi-Resolution RF-XGBoost Ensemble (11 s temporal voting),row_random,Naive stratified row-random 70/30,0.9006370232561249,0.012581668376904373,0.8823184419428258,0.0028724658483537707,0.8796491476267949,0.00273256695121063,14137.0,23.0,23.0,5
ensemble_calibrated,Calibrated Multi-Resolution RF-XGBoost Ensemble (11 s temporal voting),block45_random,45 s block-group random 70/30 + 59 s purge,0.3471186017171512,0.027789441190585067,0.6241584748995093,0.04696802140051998,0.6219291819291819,0.07538040023501999,12285.0,19.0,21.8,5
ensemble_calibrated,Calibrated Multi-Resolution RF-XGBoost Ensemble (11 s temporal voting),event_random,Event-group random 70/30 + 59 s purge,0.27933101481941536,0.05627303000042498,0.5997641514148122,0.05278781310905137,0.610473667576649,0.05363862140167119,14109.6,21.0,22.2,5
ensemble_calibrated,Calibrated Multi-Resolution RF-XGBoost Ensemble (11 s temporal voting),lodo,Leave-one-day-out (Apr11-Apr13),0.3238495546621331,0.0,0.6087714621005703,0.0,0.6216737901557976,0.0,36265.0,23.0,23.0,3
